what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1441099890793
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1441099913313
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1441099913360
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1441099913407
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441099913438
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441099920583
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1441099920724
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441099922956
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441099923097
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1441099923112
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441099925625
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1441099927499
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441099940687
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1441099940703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1441099943551
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441099950870
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441099966181
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441099969195
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441099987032
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1441099987048
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441099990092
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441099996540
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1441099996556
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441100001111
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441100032254
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1441100032332
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1441100036747
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441100056623
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441100065998
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1441100066763
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1441100066778
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1441100066825
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441100073646
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1441100075035
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441100075051
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1441100075097
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1441100075097
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441100077876
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441100078860
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1441100078876
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1441100078876
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1441100088900
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441100102836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441100103679
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1441100103726
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1441100117915
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.1.v201108080010,"org.eclipse.jpt.jaxb.ui",1441100117946
started,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1441100117946
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1441100117962
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1441100117962
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20110728_r371,"org.eclipse.pde.api.tools",1441100118008
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1441100118008
started,bundle,org.eclipse.jpt.jaxb.core,1.0.1.v201108080010,"org.eclipse.jpt.jaxb.core",1441100118196
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1441100118352
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1441100132050
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1441100144176
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1441100153041
